date,item,type,quality
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,beidou,character,4
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,rainslasher,weapon,4
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,amos' bow,weapon,5
2020-10-01,skyward harp,weapon,5
2020-10-01,unknown,weapon,3
2020-10-01,sucrose,character,4
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,unknown,weapon,3
2020-10-01,favonius codex,weapon,4
2020-10-01,sacrificial greatsword,weapon,4
2020-10-01,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,fischl,character,4
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,dragon's bane,weapon,4
2020-10-21,eye of perception,weapon,4
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
2020-10-21,unknown,weapon,3
